"
	JEDNOSTKA ORGANIZACYJNA / TEMAT";;"
	CELE PODSTAWOWE";"
	CELE PONADPODSTAWOWE"
"
	100 - 101";"
 Symetria względem punktu";"  zna pojęcie punktów symetrycznych względem punktu (K)

  umie rozpoznawać figury symetryczne względem punktu (K)

  umie wykreślić punkt symetryczny do danego (K)

  umie rysować figury w symetrii środkowej, gdy środek symetrii:

	- nie należy do figury (K)

	- należy do figury (P)

  umie wykreślić środek symetrii, względem którego punkty są symetryczne (P)

  umie podać własności punktów symetrycznych (P)";"  umie wykreślić środek symetrii, względem którego figury są symetryczne (R)

  stosuje własności punktów symetrycznych w zadaniach (R - W)

  umie rozwiązywać zadania tekstowe związane z symetrią względem punktu (R - W)"
"
	102 - 103";"
 Środek symetrii figury";"  zna pojęcie środka symetrii figury (P)

  umie podać przykłady figur, które mają środek symetrii (P)

  umie rysować figury posiadające środek symetrii (P)

  umie wskazać środek symetrii figury (P)

  umie wyznaczyć środek symetrii odcinka (P)";"  umie rysować figury posiadające więcej niż jeden środek symetrii (R)

  umie podawać przykłady figur będących jednocześnie osiowo -

	i środkowosymetrycznymi lub mających jedną z tych cech (R)
  stosuje własności figur środkowosymetrycznych w zadaniach (R - W)"
104;"
 Powtórzenie";; 
"
	105 - 106";"
 Praca klasowa i jej omówienie";; 
"
	DZIAŁ 7. KOŁA I OKRĘGI (11 h)";;;
107;"
 Styczna do okręgu";"  umie rozpoznać wzajemne położenie prostej i okręgu (P)

  zna pojęcie stycznej do okręgu (P)

  umie rozpoznać styczną do okręgu (P)

  wie, że styczna do okręgu jest prostopadła do promien ia poprowadzonego do punktu";"  zna twierdzenie o równości długości odcinków na ramionach kąta wyznaczonych

	przez wierzchołek kąta i punkty styczności (R)

  umie konstruować okrąg styczny do prostej w danym punkcie (R)

  umie rozwiązać zadania konstrukcyjne i rachunkowe związane ze styczną do okręgu"

;;"
	styczności (P)
  umie konstruować styczną do okręgu, przechodzącą przez dany punkt na okręgu (P)

  umie rozwiązać zadania konstrukcyjne i rachunkowe związane ze styczną do okręgu (P - R)";"
	(R – W)"
108;"
 Wzajemne położenie dwóch

 okręgów";"  zna pojęcie okręgów rozłącznych, przecinających się i stycznych (K)

  umie określić wzajemne położenie dwóch okręgów, znając ich promienie i odległość między

	ich środkami (P)

  umie obliczyć odległość między środkami okręgów, znając ich promienie i poł ożenie (P)

  umie rozwiązać zadania związane z okręgami w układzie współrzędnych (P)";"  umie określić wzajemne położenie dwóch okręgów, znając ich promienie i odległość

	między ich środkami (R)

  umie obliczyć odległość między środkami okręgów, znając ich promieni e i położenie

	(R- D)
  umie rozwiązać zadania związane z okręgami w układzie współrzędnych (R - D)

  umie rozwiązać zadania tekstowe związane ze wzajemnym położeniem dwóch

	okręgów (R- W)"
"
	109 - 111"; Liczba . Długość okręgu;"  zna wzór na obliczanie długości okręgu (K)

  zna liczbę  (K)

  umie obliczyć długość okręgu, znając jego promień lub średnicę (K - P)

  umie wyznaczyć promień lub średnicę okręgu, znając jego długość (P)

  umie obliczyć obwód figury składającej się wielokrotności ćwiartek okręgu (P)

  umie rozwiązać zadania tekstowe związane z porównywaniem obwodów figur (P)";"  rozumie sposób wyznaczenia liczby  (R)

  umie rozwiązać zadania tekstowe związane z długością okręgu (R - D)

  umie rozwiązać zadania tekstowe związane z porównywaniem obwodów figur (R - D)"
